TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b000387,4,교통비,2,택시,3,,,2022-08-18 11:25:00.000,1,4200,택시비
b_b015753,50,교통비,0,버스 + 지하철,1,,,,,25800,
b_b004866,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,10000,
b_b006947,50,교통비,0,버스 + 지하철,2,,,,,3000,
b_b001041,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,92000,
b_b009953,7,교통비,0,KTX/SRT(고속열차),1,,,,,70000,기차표
b_b007407,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,2000,
b_b011066,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,9400,
b_b010107,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,19600,
b_b011271,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,1000,
b_b004164,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,10000,
b_b010300,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,18000,
b_b002797,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,31200,
b_b003967,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,40000,
b_b002838,50,교통비,0,버스 + 지하철,1,,,,,1200,
b_b001588,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,40000,
b_b014710,4,교통비,0,택시,4,,,,,16000,
b_b009263,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,4350,
b_b007697,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
b_b007082,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,5700,
b_b008262,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,20000,
b_b006568,7,교통비,1,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-10-26 19:56:00.000,1,98600,기차표 
b_b000412,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,19300,
b_b000897,50,교통비,0,버스 + 지하철,2,,,,,60400,
b_b007556,8,교통비,1,새마을/무궁화열차,1,3148210024,한국철도공사,2022-10-16 10:24:00.000,1,2600,기차표 
b_b000024,1,통행료,0,자가용(승용/승합/트럭 등등),5,,,,,15000,
b_b010909,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,72326,
b_b004919,1,주유비,11,자가용(승용/승합/트럭 등등),2,2230170300,명동주유소,2022-10-17 11:33:00.000,1,50000,주유비
b_b003842,7,교통비,1,KTX/SRT(고속열차),1,3148210024,한국철도공사,2022-09-18 18:10:00.000,1,61100,기차표 
b_b004915,7,교통비,2,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-10-01 10:35:00.000,1,58500,기차표 
b_b006892,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,500,
b_b006643,4,교통비,2,택시,1,5038106161,신우운수(주),2022-10-03 13:48:00.000,1,3700,택시비
b_b011111,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,50000,
b_b007542,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
b_b006011,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,40000,
d_d002966,4,교통비,1,택시,2,6172154478,,2022-10-30 10:05:00.000,1,7440,택시비
b_b015728,2,통행료,0,렌터카(승용/승합/버스 등등),2,,,,,10400,
b_b007020,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
b_b009946,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,1000,
b_b007978,3,렌탈비,0,캠핑카(자차 및 렌탈),2,,,,,200000,
b_b004687,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,18500,
b_b015367,50,교통비,0,버스 + 지하철,1,,,,,21800,
b_b001800,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,60000,
b_b005123,50,교통비,0,버스 + 지하철,1,,,,,5010,
b_b015792,1,주차비,11,자가용(승용/승합/트럭 등등),2,2218300385,춘천시립도서관,2022-10-30 10:53:00.000,1,600,주차비
