TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
d_d004095,채록지펜션,3,3,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-10-23 16:47:00.000,1,49000,가평 채록지펜션
d_d000562,나인트리프리미어호텔 서울판교,1,1,Y,2022-08-29 00:00:00.000,2022-08-30 00:00:00.000,1,,HOTELS.COM,경기 성남시 수정구 창업로 18,,3351887,4113111500,2022-08-29 00:00:00.000,1,111351,나인트리 프리미어 호텔 서울 판교 스탠다드 더블룸
a_a000468,오크우드프리미어 인천,1,1,Y,2022-08-22 00:00:00.000,2022-08-23 00:00:00.000,3,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-06-25 00:03:00.000,1,167810,호텔비 HO-[단독!특가]스튜디오
a_a009744,코트야드 바이 메리어트 수원,1,1,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,2,,코트야드바이메리어트수원,경기 수원시 영통구 광교호수공원로 320,,3350755,4111710400,2022-10-23 14:31:00.000,1,189785,호텔비
a_a001910,베스트웨스턴 하버파크호텔,1,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-09-04 00:00:00.000,1,83754,HO-디럭스트윈(시티뷰)
a_a001870,그린힐펜션,1,3,Y,2022-09-26 00:00:00.000,2022-09-27 00:00:00.000,2,2208742885,(주)야놀자,,,,,2022-09-12 15:57:00.000,1,152600,포천그린힐펜션
a_a003995,한화리조트 용인베잔송,0,4,Y,2022-10-12 00:00:00.000,2022-10-13 00:00:00.000,3,,,경기 용인시 처인구 남사읍 봉무로153번길 79,경기 용인시 처인구 남사읍 봉무리 257-1,,,,4,71100,
a_a000094,코리아나호텔,0,1,Y,2022-08-12 00:00:00.000,2022-08-14 00:00:00.000,4,,,서울 중구 세종대로 135,서울 중구 태평로1가 61-7,,,,1,374000,
a_a003803,어반이스트호텔,1,1,Y,2022-10-09 00:00:00.000,2022-10-10 00:00:00.000,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-10-05 23:38:00.000,1,76650,HO-시티슈페리어트윈
a_a004173,을지로코업레지던스,1,1,Y,2022-10-21 00:00:00.000,2022-10-22 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-10-03 10:00:00.000,1,86000,을지로 코업 레지던스
a_a013696,바다해맞이펜션,0,3,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,11,,,경기 안산시 단원구 고랫부리길 158-25,경기 안산시 단원구 대부남동 589,,,,2,450000,
a_a004237,소도호텔,1,1,Y,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,2,4238601564,소도호텔,경기 파주시 원앙길 8-8,경기 파주시 금촌동 45-19,4418622,4148010100,2022-10-08 22:09:00.000,1,110000,호텔비
