COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,c_c011773,2,1,4,1
1,c_c008746,1,2,6,1
15,c_c004041,9,2,6,3
1,c_c013729,1,2,5,1
3,c_c005727,7,2,3,1
2,c_c012175,2,2,1,1
1,c_c001903,6,1,5,1
2,c_c000386,6,1,4,3
3,c_c002413,2,1,1,1
3,c_c006217,2,1,1,1
1,c_c010853,1,1,4,1
3,c_c004367,2,2,1,1
1,c_c004706,1,1,7,1
3,c_c009183,3,2,8,2
1,c_c007645,1,2,4,1
3,c_c004194,2,2,1,1
1,c_c005278,1,2,4,1
2,c_c008697,3,1,7,1
1,c_c003213,1,1,5,1
2,c_c009183,2,2,1,1
5,c_c000352,2,2,4,2
1,c_c001174,1,1,4,1
1,c_c000001,1,1,5,1
1,c_c014209,1,1,5,1
1,c_c007759,3,2,6,2
3,c_c011837,3,2,6,1
2,c_c004282,2,1,3,1
2,c_c009059,2,2,3,1
1,c_c003089,1,1,5,1
3,c_c004200,11,2,4,1
1,c_c002381,7,1,5,3
2,c_c002254,9,2,5,1
5,c_c000158,11,1,2,3
2,c_c008781,7,2,4,1
1,c_c003241,1,1,4,1
3,c_c004157,10,2,6,1
1,c_c003133,7,2,4,1
4,c_c000401,11,2,1,3
1,c_c004710,8,2,3,3
2,c_c000082,2,1,2,1
12,c_c004222,10,2,6,1
1,c_c012023,3,1,7,1
4,c_c000290,6,2,4,3
2,c_c002856,1,2,6,1
1,c_c001790,8,2,4,1
1,c_c008848,2,2,2,1
3,c_c000921,2,1,5,3
3,c_c009047,2,2,1,1
2,c_c000698,2,1,1,1
3,c_c002436,7,2,3,1
1,c_c002093,1,1,4,1
3,c_c005587,2,2,1,1
3,c_c006526,11,1,1,1
1,c_c013773,7,2,3,1
5,c_c002734,10,2,1,1
2,c_c003174,7,2,3,1
1,c_c008908,8,2,3,1
1,c_c003930,8,2,4,1
8,c_c002186,6,2,2,1
1,c_c011699,1,1,5,1
3,c_c002832,2,1,1,1
1,c_c000308,8,1,3,1
2,c_c000001,2,1,2,1
1,c_c003850,7,2,3,1
2,c_c013027,2,2,1,1
4,c_c005489,5,1,3,3
2,c_c005840,7,1,4,3
1,c_c013531,8,1,3,1
3,c_c002888,2,2,1,1
1,c_c001050,1,2,4,1
1,c_c000111,8,2,3,1
5,c_c000915,2,2,5,3
2,c_c003401,5,2,3,1
4,c_c004041,9,1,4,3
1,c_c002211,2,2,1,1
1,a_a000319,9,1,5,3
2,c_c003374,2,2,2,1
2,c_c005278,2,1,2,1
1,c_c002027,2,2,4,1
1,c_c005239,1,1,4,1
4,c_c001221,7,1,4,3
2,c_c000639,6,1,7,1
