COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,d_d002426,1,1,5,1
1,d_d010180,11,2,4,3
1,d_d002185,1,1,5,1
1,d_d000162,7,2,3,1
3,a_a001993,2,2,1,1
1,a_a004869,7,1,4,1
3,b_b008495,9,2,3,2
2,d_d000266,1,2,8,1
2,b_b003064,1,2,8,1
1,d_d012376,2,2,3,1
1,d_d001372,1,2,4,1
1,d_d010232,1,2,4,1
3,d_d001657,7,1,4,2
4,a_a015309,5,2,5,1
1,d_d002839,1,1,4,1
1,d_d001499,8,2,3,1
5,b_b002898,11,1,1,3
9,d_d001502,6,1,4,1
3,d_d004266,2,2,1,1
2,b_b007524,2,2,2,1
5,d_d005800,11,1,4,3
1,d_d001057,1,2,5,1
7,d_d003333,6,2,4,1
1,a_a006273,1,1,4,1
1,a_a005955,8,1,3,1
1,d_d001903,7,1,4,1
6,d_d010758,6,2,1,1
1,a_a012121,8,2,3,1
2,a_a000159,2,1,2,1
3,d_d005240,2,2,1,1
10,d_d004062,2,1,1,1
5,a_a001220,2,2,4,1
4,d_d000327,6,1,5,1
3,d_d009697,10,2,4,3
3,d_d001513,2,1,1,1
2,d_d000565,5,2,3,1
1,d_d010253,1,2,5,1
1,a_a005372,7,2,3,1
2,a_a003002,2,2,4,1
1,d_d000693,8,2,4,1
3,c_c002382,9,1,5,3
2,d_d004703,2,2,3,2
4,c_c003062,9,1,7,1
2,c_c000473,2,2,1,1
1,d_d000639,3,2,5,1
3,d_d000108,2,1,2,1
1,d_d000770,10,2,3,2
1,d_d001607,1,2,5,1
2,d_d004304,2,1,1,1
1,c_c000618,8,2,3,1
1,d_d002744,1,1,7,1
1,d_d000515,1,1,4,1
1,d_d002482,7,2,3,1
1,d_d002217,7,1,4,1
2,d_d001980,2,2,4,1
1,a_a014899,8,2,3,1
1,c_c003664,1,1,7,1
2,d_d001296,10,1,4,1
1,d_d009122,1,1,4,1
2,c_c002693,2,2,3,1
1,c_c002517,6,1,5,1
1,d_d001411,1,2,7,1
2,d_d000324,2,1,1,1
1,d_d001638,1,2,5,1
1,b_b002904,1,1,4,1
3,d_d002386,2,1,1,1
3,d_d002838,3,2,6,1
1,d_d001764,2,2,4,1
1,d_d003105,7,2,3,3
1,d_d000404,1,1,6,1
1,d_d009017,1,1,5,1
1,d_d002810,7,1,3,1
2,d_d002478,2,2,1,1
8,a_a001537,7,1,4,2
1,d_d007523,7,2,6,1
3,d_d000058,7,2,4,3
5,a_a000887,6,1,4,3
2,d_d000371,7,1,3,3
5,d_d000388,2,1,1,1
1,d_d003277,1,2,6,1
3,d_d002439,6,1,1,1
3,d_d011430,7,2,4,1
1,d_d003763,8,1,3,1
8,c_c002516,6,2,3,1
1,d_d001014,8,1,3,1
1,d_d009139,8,2,3,1
3,d_d001675,2,2,1,1
3,c_c001169,5,1,6,1
1,d_d000352,7,2,3,1
2,d_d000330,2,1,1,1
1,d_d000170,1,1,6,1
1,d_d001527,1,2,4,1
6,a_a004897,7,2,4,1
2,d_d002490,7,2,3,1
4,d_d000224,1,1,7,1
3,c_c002783,5,2,3,1
3,d_d002328,6,1,2,1
2,d_d010560,7,2,4,1
1,a_a005789,2,1,1,1
2,b_b002249,6,2,2,1
1,a_a002689,1,1,4,1
1,d_d001854,1,2,3,1
1,d_d005999,3,1,7,1
1,d_d008963,7,2,3,3
1,d_d003629,1,1,5,1
2,d_d005291,2,2,1,1
1,d_d009568,5,2,3,1
1,d_d002402,2,2,3,1
1,d_d009919,8,1,3,1
1,d_d003432,1,1,5,1
1,c_c006801,1,2,5,1
4,d_d004418,7,1,4,3
5,d_d002408,5,2,3,3
3,d_d004381,2,2,1,1
1,d_d007081,1,1,5,1
2,a_a000639,2,1,1,1
3,d_d002586,5,1,3,1
5,d_d000092,6,1,6,3
1,d_d005317,1,1,4,1
1,a_a001696,7,1,3,1
1,d_d004479,1,1,5,1
1,b_b005163,1,1,6,1
1,d_d004868,9,2,3,1
2,c_c002534,2,1,1,1
3,a_a000660,3,2,6,1
2,d_d001521,2,1,1,1
1,d_d003231,2,1,2,1
1,a_a000275,1,2,4,1
1,d_d009219,3,1,6,1
1,d_d001416,8,1,3,1
1,d_d003172,5,2,4,1
1,d_d003442,8,1,3,2
1,d_d003609,7,2,3,1
1,a_a000354,1,2,4,1
3,d_d000074,2,1,2,1
1,d_d005534,8,1,3,1
3,d_d006351,6,2,3,1
1,d_d000351,7,2,3,1
1,d_d005964,7,2,3,1
1,d_d002098,7,2,4,1
2,d_d004754,2,2,1,1
3,d_d001223,2,2,4,1
3,d_d000148,2,2,3,3
3,d_d000741,5,2,4,2
1,d_d007488,1,1,7,1
1,d_d006136,1,1,5,1
8,d_d011384,5,2,4,1
3,d_d001824,2,2,4,1
1,c_c005242,1,1,5,1
9,d_d000117,6,2,6,1
1,d_d010617,7,2,4,1
2,b_b002960,2,1,1,1
3,d_d000278,6,1,4,1
1,d_d009421,2,2,5,3
1,d_d010190,1,2,4,1
1,d_d005029,2,2,1,1
3,c_c004984,2,1,1,1
1,b_b006141,8,2,3,1
2,a_a002994,2,2,1,1
1,d_d001062,10,1,3,1
2,d_d000591,2,2,2,1
1,d_d000333,1,2,4,1
3,c_c000002,5,2,3,1
2,c_c001602,11,2,6,1
3,d_d005254,5,2,3,1
1,d_d008013,3,1,6,1
2,c_c000583,5,1,4,1
3,d_d000591,2,2,1,1
6,d_d012347,6,2,2,1
1,d_d002457,7,2,3,1
1,b_b000187,8,2,4,1
1,d_d001925,8,1,4,1
1,d_d003964,8,1,4,1
1,d_d000407,1,2,4,1
1,d_d007484,5,1,3,1
3,d_d009681,5,1,3,1
3,d_d002638,2,2,1,1
1,d_d001119,1,2,4,1
1,d_d003583,7,2,4,1
2,d_d001196,2,2,1,1
