TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a006001,A03,a006001,6;,2022-10-01,2022-10-02,,수도권 거주 40세 이상 자녀 동반,6;,3;9;21
a_a006545,A01,a006545,1;3;4;,2022-10-29,2022-10-30,,,1;3;4;,1;4;3
a_a002758,A01,a002758,1;12;22;4;8;,2022-09-25,2022-09-27,대중교통 등,,1;12;22;4;8;,8;24;1
a_a014894,A03,a014894,24;9;22;22;26;,2022-10-29,2022-10-30,자가용,,24;9;22;22;26;,1;22;4
a_a005644,A03,a005644,2;3;,2022-10-03,2022-10-04,,,2;3;,6;3;9
a_a004970,A03,a004970,2;22;,2022-10-30,2022-10-31,자가용,수도권 거주 39세 이하 자녀 동반,2;22;,11;22;3
a_a002019,A01,a002019,21;23;24;4;7;,2022-09-25,2022-09-27,대중교통 등,,21;23;24;4;7;,23;7;1
a_a004288,A03,a004288,2;,2022-10-02,2022-10-03,,,2;,2;24;1
a_a000605,A03,a000605,1;2;3;4;9;,2022-08-27,2022-08-30,자가용,수도권 거주 40세 이상 자녀 동반,1;2;3;4;9;,2;4;22
a_a017822,A03,a017822,21;22;4;,2022-11-09,2022-11-10,,,21;22;4;,21;22;4
a_a018225,A03,a018225,24;4;,2022-11-13,2022-11-14,,,24;4;,24;4;2
a_a002530,A01,a002530,1;2;22;6;7;,2022-09-23,2022-09-25,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;6;7;,2;6;1
a_a007727,A03,a007727,1;22;5;3;24;,2022-10-22,2022-10-23,자가용,,1;22;5;3;24;,1;3;22
a_a001931,A03,a001931,2;23;,2022-09-17,2022-09-20,대중교통 등,수도권 거주 39세 이하 커플,2;23;,3;12;23
a_a005190,A03,a005190,5;,2022-10-03,2022-10-04,,수도권 거주 40세 이상 3인 이상 친구,5;,5;21;10
a_a000975,A01,a000975,1;28;4;6;,2022-08-23,2022-08-26,대중교통 등,수도권 외 거주 39세 이하 커플,1;28;4;6;,1;3;4
a_a000788,A01,a000788,1;22;23;26;6;,2022-08-24,2022-08-27,대중교통 등,수도권 외 거주 39세 이하 커플,1;22;23;26;6;,1;22;6
b_b004636,A03,b004636,2;3;5;8;,2022-10-08,2022-10-09,자가용,,2;3;5;8;,11;6;26
a_a004071,A01,a004071,1;10;2;22;26;,2022-09-29,2022-10-02,대중교통 등,,1;10;2;22;26;,10;2;26
a_a003399,A03,a003399,1;12;3;4;6;,2022-10-07,2022-10-10,대중교통 등,수도권 거주 39세 이하 커플,1;12;3;4;6;,1;23;3
a_a007418,A03,a007418,1;2;21;22;,2022-10-22,2022-10-23,,수도권 거주 39세 이하 커플,1;2;21;22;,21;5;1
a_a004501,A02,a004501,1;25;,2022-10-08,2022-10-11,자가용,,1;25;,1;25;2
a_a003949,A03,a003949,2;,2022-10-26,2022-10-27,자가용,,2;,2;9;22
a_a017805,A03,a017805,1;2;3;6;9;,2022-11-09,2022-11-10,,수도권 거주 39세 이하 커플,1;2;3;6;9;,26;22;1
a_a007928,A03,a007928,3;,2022-10-22,2022-10-23,,수도권 거주 40세 이상 자녀 동반,3;,3;6;9
a_a017812,A02,a017812,1;4;,2022-11-12,2022-11-13,,수도권 거주 39세 이하 부부,1;4;,1;4;21
a_a006632,A03,a006632,27;4;,2022-10-23,2022-10-24,자가용,,27;4;,2;21;4
a_a011091,A02,a011091,1;21;22;26;4;,2022-10-22,2022-10-23,대중교통 등,수도권 거주 39세 이하 3인 이상 친구,1;21;22;26;4;,4;22;24
a_a005176,A03,a005176,5;6;7;,2022-10-14,2022-10-15,,수도권 거주 39세 이하 커플,5;6;7;,1;3;5
a_a004868,A03,a004868,2;22;23;24;4;,2022-10-08,2022-10-10,대중교통 등,수도권 거주 39세 이하 커플,2;22;23;24;4;,2;24;22
a_a001316,A01,a001316,1;2;3;4;5;,2022-08-27,2022-08-31,대중교통 등,,1;2;3;4;5;,21;4;27
a_a007240,A03,a007240,22;24;3;,2022-10-30,2022-10-31,,수도권 거주 40세 이상 자녀 동반,22;24;3;,22;24;26
a_a007106,A02,a007106,1;24;4;,2022-10-16,2022-10-17,자가용,수도권 거주 39세 이하 자녀 동반,1;24;4;,24;2;1
a_a006985,A03,a006985,1;2;4;24;22;23;26;,2022-10-29,2022-10-30,대중교통 등,,1;2;4;24;22;23;26;,2;4;24
a_a011541,A03,a011541,21;22;24;26;6;,2022-10-30,2022-10-31,자가용,,21;22;24;26;6;,6;21;22
a_a010436,A03,a010436,1;2;,2022-10-23,2022-10-24,자가용,수도권 거주 39세 이하 자녀 동반,1;2;,26;1;4
a_a009760,A01,a009760,4;1;6;22;23;,2022-10-22,2022-10-24,대중교통 등,수도권 거주 39세 이하 커플,4;1;6;22;23;,23;6;1
a_a005701,A03,a005701,2;25;5;8;,2022-10-15,2022-10-17,자가용,,2;25;5;8;,8;25;5
a_a000181,A01,a000181,6;9;,2022-08-13,2022-08-15,대중교통 등,수도권 거주 39세 이하 커플,6;,6;11;3
a_a002034,A03,a002034,26;5;,2022-09-12,2022-09-13,대중교통 등,,26;5;,26;5;1
c_c008854,A01,c008854,4;,2022-11-05,2022-11-06,,,4;,4;21;22
a_a002105,A03,a002105,22;23;,2022-09-10,2022-09-12,대중교통 등,,22;23;,23;26;22
a_a008018,A01,a008018,1;4;6;22;,2022-10-20,2022-10-21,,수도권 거주 39세 이하 커플,1;4;6;22;,24;22;1
