TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c000951,11,남,60,6,1.0,2.0,4,2.0,,5,7.0,3,6,46,46890,42,42770,48,48310,7,4,7,5,5,7,7,7,서울특별시,전남,3인 이상 여행(가족 외),2022-10-22~2022-10-23,10.0,,,3
c005047,41,남,30,7,1.0,1.0,4,2.0,,6,8.0,3,4,50,50130,42,42150,44,44825,1,1,2,3,6,5,1,7,경기도,충남,나홀로 여행,2022-10-08~2022-10-08,7.0,6.0,2.0,0
c014141,46,여,20,4,1.0,1.0,4,4.0,,3,9.0,3,2,50,50110,42,42170,46,46820,1,1,4,6,2,3,6,6,전라남도,전남,2인 가족 여행,2022-11-10~2022-11-10,1.0,2.0,3.0,1
c006434,41,여,20,6,1.0,1.0,1,4.0,,4,,3,5,11,11200,26,26290,42,42150,2,2,1,4,6,2,5,6,경기도,전남,나홀로 여행,2022-10-27~2022-10-28,1.0,2.0,7.0,0
c005274,27,여,30,6,1.0,2.0,2,3.0,,4,7.0,2,1,27,27140,47,47130,26,26500,4,4,1,4,4,3,1,7,대구광역시,충북,2인 가족 여행,2022-10-03~2022-10-03,7.0,1.0,3.0,1
c008983,30,남,30,6,1.0,2.0,3,2.0,,7,9.0,2,2,42,42150,26,26350,50,50130,2,4,2,3,3,3,4,3,대전광역시,충남,나홀로 여행,2022-10-27~2022-10-27,1.0,8.0,4.0,0
c002991,48,여,30,6,1.0,1.0,3,3.0,,4,10.0,2,2,50,50130,50,50110,42,42150,2,4,2,1,1,4,1,5,경상남도,전남,나홀로 여행,2022-09-23~2022-09-23,1.0,2.0,7.0,0
c002376,45,여,20,6,1.0,1.0,3,,3.0,1,8.0,3,3,11,11680,11,11170,45,45110,3,3,2,3,5,5,3,5,전라북도,전북,나홀로 여행,2022-09-22~2022-09-23,1.0,4.0,2.0,0
c003795,30,여,20,6,2.0,1.0,1,12.0,,2,,2,1,50,50110,42,42210,26,26350,2,1,1,2,2,1,6,3,대전광역시,충남,2인 여행(가족 외),2022-10-01~2022-10-01,9.0,1.0,7.0,1
c006880,11,여,60,7,1.0,2.0,4,13.0,,6,12.0,3,4,26,26230,41,41360,11,11680,4,4,6,4,4,6,2,7,서울특별시,전북,나홀로 여행,2022-10-19~2022-10-19,8.0,2.0,10.0,0
c005362,11,남,50,4,1.0,2.0,2,4.0,,4,4.0,2,1,42,42210,41,41830,11,11470,4,5,5,4,5,4,5,4,서울특별시,세종,2인 가족 여행,2022-10-28~2022-10-28,1.0,,,1
c003301,28,남,30,6,1.0,1.0,4,1.0,,2,8.0,3,2,50,50130,42,42150,42,42210,7,1,1,2,1,6,2,6,인천광역시,전북,나홀로 여행,2022-09-27~2022-09-28,1.0,2.0,4.0,0
c005992,11,남,30,6,1.0,1.0,1,3.0,,5,,3,4,50,50130,42,42830,41,41830,2,4,2,3,3,2,2,2,서울특별시,전북,2인 가족 여행,2022-10-15~2022-10-15,1.0,3.0,7.0,1
c009696,43,여,30,5,1.0,2.0,3,13.0,,5,7.0,3,5,42,42150,47,47110,50,50110,3,2,2,4,4,3,5,5,충청북도,전남,3대 동반 여행(친척 포함),2022-10-30~2022-10-31,3.0,7.0,2.0,3
